ApplicationNumber,Age,Gender,IncomeSource,Income,Loan,LoanTerm,CIBIL,CoAppStatus,CoAppCIBIL,CoAppIncome,ApplicationThrough,ApplicationTime,MobileOS,Score
10202,46,Female,Self Employed,12000.0,186000.0,29.0,679.0,No,,,PaidAd,05:06:00,Android,60.0
10203,51,Female,Salaried,43000.0,534000.0,34.0,,No,,,DirectBank,11:24:00,,52.0
10204,29,Male,Professional,13000.0,672000.0,26.0,734.0,Yes,504.0,24000.0,DirectBank,16:56:00,,60.0
10205,51,Male,Self Employed,15000.0,885000.0,27.0,452.0,Yes,745.0,9000.0,DirectBank,15:40:00,,69.0
10209,41,Female,Self Employed,19000.0,109000.0,32.0,530.0,Yes,397.0,18000.0,PaidAd,11:48:00,Android,67.0
10211,28,Male,Self Employed,50000.0,425000.0,34.0,,No,,,DirectOnline,04:35:00,Android,68.0
10213,25,Male,Self Employed,18000.0,711000.0,31.0,568.0,No,,,DirectBank,17:44:00,,52.0
10214,36,Male,Professional,26000.0,352000.0,22.0,340.0,No,,,DirectBank,16:37:00,,63.0
10215,41,Female,Self Employed,38000.0,91000.0,21.0,568.0,Yes,,15000.0,DirectBank,11:48:00,,58.0
10216,32,Male,Business,34000.0,351000.0,24.0,,Yes,500.0,12000.0,DirectBank,11:26:00,,66.0
10218,33,Male,Self Employed,9000.0,385000.0,21.0,343.0,Yes,830.0,63000.0,PaidAd,15:11:00,Android,52.0
10220,47,Male,Self Employed,8000.0,271000.0,28.0,674.0,Yes,674.0,55000.0,DirectOnline,09:13:00,Android,54.0
10221,46,Others,Self Employed,36000.0,317000.0,19.0,756.0,No,,,PaidAd,18:53:00,Android,54.0
10222,32,Male,Self Employed,36000.0,129000.0,32.0,,Yes,364.0,15000.0,DirectBank,14:26:00,,59.0
10225,24,Female,Business,9000.0,367000.0,30.0,450.0,Yes,646.0,11000.0,DirectBank,12:33:00,,53.0
10226,41,Male,Salaried,13000.0,459000.0,20.0,851.0,Yes,,5000.0,DirectBank,09:33:00,,51.0
10227,35,Male,Self Employed,6000.0,83000.0,16.0,672.0,Yes,,53000.0,DirectBank,16:58:00,,53.0
10228,25,Male,Self Employed,29000.0,373000.0,23.0,442.0,No,,,DirectOnline,20:11:00,Android,66.0
10229,24,Male,Salaried,40000.0,404000.0,23.0,583.0,No,,,DirectBank,11:55:00,,52.0
10230,61,Female,Self Employed,11000.0,82000.0,25.0,578.0,No,,,PaidAd,18:33:00,Android,67.0
10232,42,Female,Self Employed,33000.0,498000.0,31.0,685.0,Yes,353.0,39000.0,DirectBank,11:54:00,,58.0
10233,32,Male,Self Employed,15000.0,423000.0,34.0,443.0,Yes,370.0,30000.0,DirectOnline,16:09:00,Android,73.0
10237,25,Male,Professional,54000.0,318000.0,26.0,678.0,Yes,378.0,13000.0,DirectOnline,15:40:00,Android,51.0
10239,24,Female,Self Employed,8000.0,864000.0,31.0,486.0,No,,,PaidAd,15:29:00,Android,55.0
10240,33,Male,Self Employed,7000.0,151000.0,18.0,679.0,Yes,375.0,32000.0,PaidAd,19:28:00,Android,60.0
10241,21,Female,Self Employed,47000.0,481000.0,35.0,400.0,Yes,,19000.0,DirectOnline,15:32:00,Android,52.0
10243,58,Male,Professional,16000.0,121000.0,30.0,675.0,Yes,608.0,42000.0,DirectOnline,12:04:00,Android,56.0
10244,39,Female,Professional,9000.0,73000.0,32.0,399.0,Yes,575.0,53000.0,PaidAd,06:28:00,Android,64.0
10245,35,Female,Self Employed,19000.0,394000.0,24.0,332.0,Yes,874.0,40000.0,DirectOnline,13:43:00,Android,68.0
10246,24,Female,Self Employed,10000.0,396000.0,34.0,,No,,,DirectBank,11:30:00,,57.0
10251,31,Male,Business,23000.0,366000.0,19.0,488.0,Yes,553.0,21000.0,DirectBank,16:34:00,,55.0
10253,44,Female,Professional,13000.0,299000.0,31.0,533.0,No,,,Agent,10:28:00,,52.0
10257,52,Male,Salaried,17000.0,352000.0,34.0,,Yes,643.0,39000.0,DirectBank,16:14:00,,60.0
10258,45,Female,Self Employed,46000.0,407000.0,31.0,450.0,Yes,596.0,19000.0,DirectBank,11:12:00,,61.0
10261,29,Female,Self Employed,17000.0,325000.0,19.0,587.0,No,,,PaidAd,09:40:00,Android,53.0
10265,45,Male,Self Employed,34000.0,491000.0,29.0,,Yes,502.0,53000.0,DirectBank,12:17:00,,57.0
10266,29,Male,Self Employed,8000.0,101000.0,28.0,679.0,No,,,DirectOnline,12:39:00,Android,63.0
10267,61,Male,Salaried,38000.0,135000.0,19.0,,Yes,666.0,73000.0,DirectOnline,17:31:00,Android,52.0
10268,48,Male,Salaried,16000.0,818000.0,31.0,328.0,Yes,514.0,51000.0,DirectBank,09:42:00,,58.0
10269,32,Male,Self Employed,52000.0,273000.0,14.0,325.0,No,,,DirectOnline,10:22:00,Android,59.0
10270,45,Male,Self Employed,58000.0,230000.0,27.0,588.0,Yes,500.0,32000.0,DirectOnline,01:21:00,Android,69.0
10271,57,Female,Self Employed,12000.0,484000.0,26.0,663.0,Yes,663.0,59000.0,DirectBank,09:13:00,,65.0
10273,65,Male,Salaried,57000.0,417000.0,20.0,434.0,Yes,507.0,40000.0,DirectOnline,13:07:00,Android,55.0
10274,29,Female,Self Employed,6000.0,746000.0,25.0,673.0,No,,,DirectBank,14:04:00,,53.0
10277,53,Male,Business,9000.0,478000.0,18.0,604.0,Yes,610.0,16000.0,DirectBank,17:38:00,,53.0
