ApplicationNumber,OpenCredit,MonthlyCreditPayment,CreditHistory,MinBalance,ChequeBounce,DebitToDemat
10200,291500.0,29150.0,6.0,0.0,No,No
10201,160500.0,4115.0,76.0,2.0,No,No
10206,30000.0,833.0,40.0,0.0,No,Yes
10207,69600.0,1313.0,74.0,2.0,No,No
10208,67500.0,2109.0,90.0,0.0,No,No
10210,12700.0,508.0,63.0,0.0,No,No
10212,22000.0,786.0,68.0,0.0,Yes,No
10217,226800.00000000003,4536.0,78.0,3.0,No,No
10219,109400.0,10940.0,53.0,0.0,No,Yes
10223,134000.0,2680.0,39.0,0.0,No,No
10224,197000.0,9381.0,26.0,0.0,No,No
10231,128700.0,2340.0,94.0,0.0,No,No
10234,131000.0,3853.0,21.0,0.0,No,No
10235,51600.00000000001,2243.0,45.0,0.0,No,No
10236,12600.0,1145.0,85.0,0.0,No,No
10238,130500.0,3625.0,70.0,1.0,No,No
10242,121600.0,2171.0,77.0,1.0,No,No
10247,130800.0,6884.0,20.0,1.0,No,No
10248,0.0,0.0,70.0,2.0,No,No
10249,141600.0,2890.0,3.0,0.0,No,No
10250,82000.0,3565.0,17.0,0.0,No,No
10252,50400.0,2653.0,26.0,0.0,No,No
10254,112200.0,2338.0,15.0,0.0,Yes,No
10255,185000.0,4205.0,25.0,0.0,No,No
10256,300300.0,37538.0,26.0,0.0,No,No
10259,63600.00000000001,2544.0,73.0,2.0,No,No
10260,39600.0,4950.0,27.0,0.0,No,Yes
10262,119600.0,2345.0,26.0,1.0,No,Yes
10263,81200.0,2030.0,73.0,0.0,No,No
10264,106400.0,2264.0,67.0,0.0,No,No
10272,37200.0,1063.0,46.0,0.0,No,Yes
10275,155200.0,31040.0,14.0,1.0,No,No
10276,118500.0,19750.0,9.0,0.0,No,No
10278,235000.0,6912.0,67.0,1.0,Yes,Yes
10279,17100.000000000004,1315.0,81.0,1.0,No,No
10281,10600.0,624.0,41.0,1.0,No,No
10282,37500.0,833.0,12.0,3.0,No,No
10283,81000.00000000001,3857.0,55.0,0.0,No,No
10285,479700.0,12965.0,89.0,0.0,No,No
10287,0.0,0.0,26.0,1.0,No,Yes
10294,48300.0,3220.0,90.0,0.0,No,Yes
10295,231500.0,6257.0,21.0,0.0,No,No
10297,30500.0,1220.0,62.0,2.0,Yes,No
10298,0.0,0.0,82.0,0.0,No,Yes
